id;num_voie;indice_repet;type_voie;voie;id_commune;code_postal;type_local;surface;nb_pieces
9391;14;B;RUE;HENRI DECHAUD;1205;42100;Appartement;81;4
9392;7;;PL;JEAN MOULIN;1204;42000;Appartement;78;3
9393;78;;CRS;FAURIEL;1205;42100;Appartement;90;4
9394;19;;RUE;NEYRON;1204;42000;Appartement;49;3
9395;8;;RUE;CHOMIER;1205;42100;Appartement;55;2
9396;27;;RUE;RICHELANDIERE;1205;42100;Appartement;30;1
9397;66;;RUE;BERGSON;1204;42000;Appartement;67;3
9398;5;;RUE;FAURE BELON;1204;42000;Appartement;68;3
9399;40;;RUE;VIRGILE;1205;42100;Appartement;28;1
9400;74;;RUE;SAINT ENNEMOND;1209;42800;Appartement;48;3
9401;10;;RUE;CENTRALE;1210;42700;Appartement;54;3
9402;410;;CHE;DE LA GALOCHE;1211;42740;Appartement;115;4
9403;2;;RUE;GAMBETTA;1212;42400;Appartement;153;5
9404;4;;RUE;PAUL LANGEVIN;1213;42150;Appartement;94;3
9405;89;;RUE;GAMBETTA;1213;42150;Appartement;17;1
9406;15;;RUE;DE L EGOTAY;1214;42230;Appartement;64;3
9407;26;;RUE;DU PILAT;1212;42400;Appartement;80;4
9408;20;;RUE;FRANCOIS GILLET;1212;42400;Appartement;85;4
9409;1;;RUE;BENOIT ORIOL;1212;42400;Appartement;44;2
9410;32;;RTE;DU COIN;1212;42400;Appartement;59;3
9411;11;;PL;JEAN BAPTISTE CORNET;1215;42320;Appartement;73;3
9412;23;;RUE;GAL DE GAULLE;1212;42400;Appartement;41;2
9413;8;C;RUE;DE LA BROSSE;1212;42400;Appartement;59;2
9414;9001;;;PIZAY;1216;42800;Maison;99;4
9415;33;B;RUE;TREMOLLET;1210;42700;Appartement;82;3
9416;3;;RUE;JEAN GUITTON;1217;42270;Appartement;89;4
9417;12;A;AV;PIERRE MENDES FRANCE;1217;42270;Appartement;71;3
9418;4;;PL;DES REMPARTS;1218;42410;Appartement;110;1
9419;1;;PL;DU VERNE;1219;42480;Maison;90;4
9420;576;;RTE;DE LA VALENCIERE;1220;42580;Maison;92;4
9421;4;;CHE;DU VIEUX CHATEAU;1221;42390;Appartement;99;2
9422;2;;CHE;DE SOUS MARQUANT;1210;42700;Appartement;88;4
9423;1;B;RTE;DU COIN;1212;42400;Appartement;36;1
9424;5;;VOIE;DU TROISIEME MILLENAIRE;1222;42420;Appartement;45;2
9425;1;;RUE;MICHELET;1223;42500;Appartement;82;4
9426;35;;RUE;DES BLEUETS;1214;42230;Appartement;77;3
9427;11;;RUE;JOSEPH SOUTEYRAT;1224;42490;Appartement;80;3
9428;13;;RUE;GEORGES MELY;1223;42500;Maison;88;5
9429;23;;RUE;DES ECOLES;1225;42290;Appartement;74;3
9430;24;;RTE;DU COIN;1212;42400;Appartement;103;3
9431;17;;RUE;SADI CARNOT;1214;42230;Appartement;75;3
9432;3;;RUE;DE LA SAUZEAT;1225;42290;Appartement;91;4
9433;3;;AV;SADI CARNOT;1212;42400;Appartement;65;2
9434;3;;RUE;DE L ORPHELINAT;1210;42700;Appartement;155;4
9435;9002;;RUE;JEAN CLAUDE DELAY;1222;42420;Appartement;83;4
9436;26;;RUE;ALBERT CAMUS;1211;42740;Maison;94;5
9437;2;A;RUE;DU FAUBOURG DE COUZON;1215;42320;Appartement;71;3
9438;19;;RUE;DU GARAT;1212;42400;Appartement;51;2
9439;5;;RUE;DES MOLIERES;1223;42500;Appartement;104;4
9440;20;;RUE;GAMBETTA;1214;42230;Appartement;85;3
9441;9001;;RES;LE PLAT HAUT;1221;42390;Appartement;85;4
9442;34;;BD;BLAISE PASCAL;1214;42230;Appartement;59;2
9443;33;;PL;DE LA LIBERTE;1212;42400;Appartement;74;3
9444;18;;RUE;DES REMPARTS;1226;42410;Appartement;61;3
9445;8;;RUE;DU TREMOLIN;1223;42500;Appartement;75;2
9446;5;;RUE;DE PIROCHE;1227;42800;Appartement;48;2
9447;253;;RUE;DE LA CONDAMINE;1228;42320;Appartement;50;4
9448;4;;RUE;BERTHELOT;1212;42400;Appartement;86;3
9449;51;;RUE;SIBERT;1212;42400;Appartement;229;1
9450;7;;RUE;FERDINAND BUISSON;1210;42700;Appartement;60;3
9451;9005;;;LE FUMANT;1229;42240;Maison;53;3
9452;4;;RUE;DU PRESBYTERE;1212;42400;Appartement;59;2
9453;2;;RUE;MARTYRS RESISTANCE;1214;42230;Appartement;93;4
9454;20;;RUE;DE LA LIBERATION;1213;42150;Appartement;97;3
9455;24;;RUE;DU TREMOLIN;1223;42500;Appartement;49;2
9456;1;B;RUE;BIZET;1214;42230;Appartement;65;3
9457;1;B;RUE;BIZET;1214;42230;Appartement;67;3
9458;26;;RUE;PAUL LANGEVIN;1213;42150;Appartement;55;3
9459;6;B;RUE;DE L ETERNITE;1212;42400;Appartement;67;3
9460;3;;RUE;DES TROIS GLORIEUSES;1217;42270;Appartement;25;2
9461;13;;RUE;DE L INDUSTRIE;1230;42240;Maison;89;4
9462;10;B;CRS;MARIN;1231;42152;Appartement;83;6
9463;2;;RUE;PASTEUR;1217;42270;Appartement;30;1
9464;11;;RUE;ARISTIDE BRIAND;1214;42230;Appartement;55;2
9465;1;;RUE;MARTHOUREY;1217;42270;Appartement;19;1
9466;3;;RUE;DU RIVAGE;1212;42400;Appartement;71;4
9467;13;;PL;NOTRE DAME;1218;42410;Appartement;115;5
9468;17;;RUE;DU MARCHE;1212;42400;Appartement;38;2
9469;39;;RUE;MAURICE BONNEVIALLE;1212;42400;Appartement;125;5
9470;2;;PL;LOUIS COMTE;1212;42400;Appartement;102;4
9471;10;;AV;DE LA LIBERATION;1212;42400;Appartement;87;3
9472;46;B;RUE;DE LA LIBERATION;1219;42480;Appartement;98;4
9473;105;;RUE;JEAN JAURES;1227;42800;Appartement;55;2
9474;2;;RUE;BENOIT ORIOL;1212;42400;Appartement;70;2
9475;21;;RUE;DE LA BROSSE;1212;42400;Appartement;102;5
9476;6;;RUE;ANTOINE EYRAUD;1218;42410;Appartement;62;1
9477;12;;RUE;JEAN BAPTISTE LULLY;1214;42230;Maison;77;4
